uf,cod_uf,cod_mun,municipio,pop
TO,17,18451,Pugmil,2591
TO,17,18501,Recursolândia,4132
TO,17,18550,Riachinho,4520
TO,17,18659,Rio da Conceição,1980
TO,17,18709,Rio dos Bois,2764
TO,17,18758,Rio Sono,6486
TO,17,18808,Sampaio,4415
TO,17,18840,Sandolândia,3410
TO,17,18865,Santa Fé do Araguaia,7232
TO,17,18881,Santa Maria do Tocantins,3252
TO,17,18899,Santa Rita do Tocantins,2300
TO,17,18907,Santa Rosa do Tocantins,4794
TO,17,19004,Santa Tereza do Tocantins,2762
TO,17,20002,Santa Terezinha do Tocantins,2547
TO,17,20101,São Bento do Tocantins,5096
TO,17,20150,São Félix do Tocantins,1545
TO,17,20200,São Miguel do Tocantins,11597
TO,17,20259,São Salvador do Tocantins,3058
TO,17,20309,São Sebastião do Tocantins,4654
TO,17,20499,São Valério da Natividade,4214
TO,17,20655,Silvanópolis,5345
TO,17,20804,Sítio Novo do Tocantins,9243
TO,17,20853,Sucupira,1900
TO,17,20903,Taguatinga,16238
TO,17,20937,Taipas do Tocantins,2094
TO,17,20978,Talismã,2737
TO,17,21109,Tocantínia,7313
TO,17,21208,Tocantinópolis,23141
TO,17,21257,Tupirama,1782
TO,17,21307,Tupiratins,2461
TO,17,22081,Wanderlândia,11566
TO,17,22107,Xambioá,11709
MA,21,00055,Açailândia,109685
MA,21,00105,Afonso Cunha,6351
MA,21,00154,Água Doce do Maranhão,12257
MA,21,00204,Alcântara,21659
MA,21,00303,Aldeias Altas,25823
MA,21,00402,Altamira do Maranhão,11616
MA,21,00436,Alto Alegre do Maranhão,26348
MA,21,00477,Alto Alegre do Pindaré,31287
MA,21,00501,Alto Parnaíba,10956
MA,21,00550,Amapá do Maranhão,6789
MA,21,00600,Amarante do Maranhão,40378
MA,21,00709,Anajatuba,26880
MA,21,00808,Anapurus,15286
MA,21,00832,Apicum-Açu,17948
MA,21,00873,Araguanã,15018
MA,21,00907,Araioses,45255
MA,21,00956,Arame,32015
MA,21,01004,Arari,29200
MA,21,01103,Axixá,11850
MA,21,01202,Bacabal,102656
MA,21,01251,Bacabeira,16553
MA,21,01301,Bacuri,17335
MA,21,01350,Bacurituba,5511
MA,21,01400,Balsas,92144
MA,21,01509,Barão de Grajaú,18365
MA,21,01608,Barra do Corda,86151
MA,21,01707,Barreirinhas,60588
MA,21,01772,Bela Vista do Maranhão,10931
MA,21,01731,Belágua,7273
MA,21,01806,Benedito Leite,5519
MA,21,01905,Bequimão,20853
MA,21,01939,Bernardo do Mearim,5900
MA,21,01970,Boa Vista do Gurupi,8996
MA,21,02002,Bom Jardim,40660
MA,21,02036,Bom Jesus das Selvas,32900
MA,21,02077,Bom Lugar,15855
MA,21,02101,Brejo,35473
MA,21,02150,Brejo de Areia,9166
MA,21,02200,Buriti,28022
MA,21,02309,Buriti Bravo,23375
MA,21,02325,Buriticupu,70417
MA,21,02358,Buritirana,15100
MA,21,02374,Cachoeira Grande,8822
MA,21,02408,Cajapió,10927
MA,21,02507,Cajari,18943
MA,21,02556,Campestre do Maranhão,14028
MA,21,02606,Cândido Mendes,19702
MA,21,02705,Cantanhede,21464
MA,21,02754,Capinzal do Norte,10720
MA,21,02804,Carolina,23866
MA,21,02903,Carutapera,23219
MA,21,03000,Caxias,161137
MA,21,03109,Cedral,10455
MA,21,03125,Central do Maranhão,8447
MA,21,03158,Centro do Guilherme,13015
MA,21,03174,Centro Novo do Maranhão,21013
MA,21,03208,Chapadinha,77684
MA,21,03257,Cidelândia,14346
MA,21,03307,Codó,120265
MA,21,03406,Coelho Neto,48320
MA,21,03505,Colinas,40268
MA,21,03554,Conceição do Lago-Açu,15782
MA,21,03604,Coroatá,63821
MA,21,03703,Cururupu,30913
MA,21,03752,Davinópolis,12653
MA,21,03802,Dom Pedro,22881
MA,21,03901,Duque Bacelar,11084
MA,21,04008,Esperantinópolis,17029
MA,21,04057,Estreito,40629
MA,21,04073,Feira Nova do Maranhão,8321
MA,21,04081,Fernando Falcão,10073
MA,21,04099,Formosa da Serra Negra,18573
MA,21,04107,Fortaleza dos Nogueiras,12375
MA,21,04206,Fortuna,15239
MA,21,04305,Godofredo Viana,11464
MA,21,04404,Gonçalves Dias,17579
MA,21,04503,Governador Archer,10591
MA,21,04552,Governador Edison Lobão,17747
MA,21,04602,Governador Eugênio Barros,16456
MA,21,04628,Governador Luiz Rocha,7626
MA,21,04651,Governador Newton Bello,10011
MA,21,04677,Governador Nunes Freire,25117
MA,21,04701,Graça Aranha,6142
MA,21,04800,Grajaú,67626
MA,21,04909,Guimarães,11827
MA,21,05005,Humberto de Campos,27976
MA,21,05104,Icatu,26452
MA,21,05153,Igarapé do Meio,13774
MA,21,05203,Igarapé Grande,11628
MA,21,05302,Imperatriz,253123
MA,21,05351,Itaipava do Grajaú,15609
MA,21,05401,Itapecuru Mirim,66433
MA,21,05427,Itinga do Maranhão,25440
MA,21,05450,Jatobá,9819
MA,21,05476,Jenipapo dos Vieiras,16124
MA,21,05500,João Lisboa,23232
MA,21,05609,Joselândia,15827
MA,21,05658,Junco do Maranhão,3431
MA,21,05708,Lago da Pedra,48992
MA,21,05807,Lago do Junco,10602
MA,21,05948,Lago dos Rodrigues,8716
MA,21,05906,Lago Verde,15893
MA,21,05922,Lagoa do Mato,11020
MA,21,05963,Lagoa Grande do Maranhão,11111
MA,21,05989,Lajeado Novo,7359
MA,21,06003,Lima Campos,11642
MA,21,06102,Loreto,11871
MA,21,06201,Luís Domingues,6788
MA,21,06300,Magalhães de Almeida,19267
MA,21,06326,Maracaçumé,20815
MA,21,06359,Marajá do Sena,7658
MA,21,06375,Maranhãozinho,15734
MA,21,06409,Mata Roma,16375
MA,21,06508,Matinha,22822
MA,21,06607,Matões,32988
MA,21,06631,Matões do Norte,16169
MA,21,06672,Milagres do Maranhão,8284
MA,21,06706,Mirador,20596
MA,21,06755,Miranda do Norte,27507
MA,21,06805,Mirinzal,14632
MA,21,06904,Monção,32833
MA,21,07001,Montes Altos,9026
MA,21,07100,Morros,18938
MA,21,07209,Nina Rodrigues,14012
MA,21,07258,Nova Colinas,5243
MA,21,07308,Nova Iorque,4592
MA,21,07357,Nova Olinda do Maranhão,20393
MA,21,07407,Olho d'Água das Cunhãs,19080
MA,21,07456,Olinda Nova do Maranhão,14299
MA,21,07506,Paço do Lumiar,117877
MA,21,07605,Palmeirândia,19288
MA,21,07704,Paraibano,20892
MA,21,07803,Parnarama,34146
MA,21,07902,Passagem Franca,18549
MA,21,08009,Pastos Bons,18999
MA,21,08058,Paulino Neves,15609
MA,21,08108,Paulo Ramos,20612
MA,21,08207,Pedreiras,38506
MA,21,08256,Pedro do Rosário,24475
MA,21,08306,Penalva,37255
MA,21,08405,Peri Mirim,14019
MA,21,08454,Peritoró,22602
MA,21,08504,Pindaré-Mirim,32198
MA,21,08603,Pinheiro,81438
MA,21,08702,Pio XII,21164
MA,21,08801,Pirapemas,18182
MA,21,08900,Poção de Pedras,17773
MA,21,09007,Porto Franco,23243
MA,21,09056,Porto Rico do Maranhão,5877
MA,21,09106,Presidente Dutra,46680
MA,21,09205,Presidente Juscelino,12398
MA,21,09239,Presidente Médici,6831
MA,21,09270,Presidente Sarney,18420
MA,21,09304,Presidente Vargas,11302
MA,21,09403,Primeira Cruz,14918
MA,21,09452,Raposa,29755
MA,21,09502,Riachão,19846
MA,21,09551,Ribamar Fiquene,7609
MA,21,09601,Rosário,41694
MA,21,09700,Sambaíba,5554
MA,21,09759,Santa Filomena do Maranhão,7576
MA,21,09809,Santa Helena,41009
MA,21,09908,Santa Inês,83238
MA,21,10005,Santa Luzia,71067
MA,21,10039,Santa Luzia do Paruá,24663
MA,21,10104,Santa Quitéria do Maranhão,25041
MA,21,10203,Santa Rita,35980
MA,21,10237,Santana do Maranhão,12987
MA,21,10278,Santo Amaro do Maranhão,15375
MA,21,10302,Santo Antônio dos Lopes,14253
MA,21,10401,São Benedito do Rio Preto,18256
MA,21,10500,São Bento,45044
MA,21,10609,São Bernardo,27817
MA,21,10658,São Domingos do Azeitão,7224
MA,21,10708,São Domingos do Maranhão,33707
MA,21,10807,São Félix de Balsas,4518
MA,21,10856,São Francisco do Brejão,11444
MA,21,10906,São Francisco do Maranhão,11966
MA,21,11003,São João Batista,20235
MA,21,11029,São João do Carú,15520
MA,21,11052,São João do Paraíso,10949
MA,21,11078,São João do Soter,18095
MA,21,11102,São João dos Patos,25371
MA,21,11201,São José de Ribamar,174267
MA,21,11250,São José dos Basílios,7495
MA,21,11300,São Luís,1073893
MA,21,11409,São Luís Gonzaga do Maranhão,18607
MA,21,11508,São Mateus do Maranhão,40574
MA,21,11532,São Pedro da Água Branca,12407
MA,21,11573,São Pedro dos Crentes,4563
MA,21,11607,São Raimundo das Mangabeiras,18406
MA,21,11631,São Raimundo do Doca Bezerra,5230
MA,21,11672,São Roberto,6529
MA,21,11706,São Vicente Ferrer,20678
MA,21,11722,Satubinha,13487
MA,21,11748,Senador Alexandre Costa,10862
MA,21,11763,Senador La Rocque,14081
MA,21,11789,Serrano do Maranhão,10859
MA,21,11805,Sítio Novo,17663
MA,21,11904,Sucupira do Norte,10434
MA,21,11953,Sucupira do Riachão,5537
MA,21,12001,Tasso Fragoso,8303
MA,21,12100,Timbiras,28511
MA,21,12209,Timon,164869
MA,21,12233,Trizidela do Vale,20891
MA,21,12274,Tufilândia,5716
MA,21,12308,Tuntum,40844
MA,21,12407,Turiaçu,34826
MA,21,12456,Turilândia,24907
MA,21,12506,Tutóia,57253
MA,21,12605,Urbano Santos,32316
MA,21,12704,Vargem Grande,54845
MA,21,12803,Viana,51249
MA,21,12852,Vila Nova dos Martírios,12954
MA,21,12902,Vitória do Mearim,32046
MA,21,13009,Vitorino Freire,30917
MA,21,14007,Zé Doca,50507
PI,22,00053,Acauã,6933
PI,22,00103,Agricolândia,5078
PI,22,00202,Água Branca,17010
PI,22,00251,Alagoinha do Piauí,7501
PI,22,00277,Alegrete do Piauí,4832
PI,22,00301,Alto Longá,14006
PI,22,00400,Altos,39715
PI,22,00459,Alvorada do Gurguéia,5278
PI,22,00509,Amarante,17312
PI,22,00608,Angical do Piauí,6692
PI,22,00707,Anísio de Abreu,9597
PI,22,00806,Antônio Almeida,3103
PI,22,00905,Aroazes,5763
PI,22,00954,Aroeiras do Itaim,2460
PI,22,01002,Arraial,4670
PI,22,01051,Assunção do Piauí,7686
PI,22,01101,Avelino Lopes,11433
PI,22,01150,Baixa Grande do Ribeiro,11218
PI,22,01176,Barra D'Alcântara,3887
PI,22,01200,Barras,46072
PI,22,01309,Barreiras do Piauí,3287
PI,22,01408,Barro Duro,6935
PI,22,01507,Batalha,26331
PI,22,01556,Bela Vista do Piauí,3919
PI,22,01572,Belém do Piauí,3464
PI,22,01606,Beneditinos,10027
PI,22,01705,Bertolínia,5402
PI,22,01739,Betânia do Piauí,6097
PI,22,01770,Boa Hora,6599
PI,22,01804,Bocaina,4436
PI,22,01903,Bom Jesus,24327
PI,22,01919,Bom Princípio do Piauí,5497
PI,22,01929,Bonfim do Piauí,5549
PI,22,01945,Boqueirão do Piauí,6380
PI,22,01960,Brasileira,8159
PI,22,01988,Brejo do Piauí,3871
PI,22,02000,Buriti dos Lopes,19415
PI,22,02026,Buriti dos Montes,8188
PI,22,02059,Cabeceiras do Piauí,10325
PI,22,02075,Cajazeiras do Piauí,3471
PI,22,02083,Cajueiro da Praia,7451
PI,22,02091,Caldeirão Grande do Piauí,5674
PI,22,02109,Campinas do Piauí,5507
PI,22,02117,Campo Alegre do Fidalgo,4911
PI,22,02133,Campo Grande do Piauí,5801
PI,22,02174,Campo Largo do Piauí,7094
PI,22,02208,Campo Maior,45971
PI,22,02251,Canavieira,3904
PI,22,02307,Canto do Buriti,20700
PI,22,02406,Capitão de Campos,11239
PI,22,02455,Capitão Gervásio Oliveira,4008
